Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom, Volume
2016/3/29, 01:25:00.0, 2031.75, 2032.00, 2031.25, 2031.75, 308, 188, 2031.69, 2031.67, 2031.63, 150, 158, 2031.34, 2032.85, 2029.83, 308
2016/3/29, 01:30:00.0, 2031.50, 2032.75, 2031.50, 2032.50, 453, 288, 2032.06, 2032.25, 2032.13, 204, 249, 2031.45, 2033.09, 2029.81, 453
2016/3/29, 01:35:00.0, 2032.50, 2032.75, 2032.25, 2032.75, 235, 131, 2032.56, 2032.58, 2032.50, 89, 146, 2031.58, 2033.17, 2029.99, 235
2016/3/29, 01:40:00.0, 2032.75, 2032.75, 2031.75, 2031.75, 280, 137, 2032.25, 2032.08, 2032.25, 214, 66, 2031.59, 2033.25, 2029.94, 280
2016/3/29, 01:45:00.0, 2031.75, 2031.75, 2030.75, 2031.50, 561, 259, 2031.44, 2031.33, 2031.25, 343, 218, 2031.58, 2033.30, 2029.87, 561
2016/3/29, 01:50:00.0, 2031.50, 2031.50, 2031.00, 2031.50, 233, 116, 2031.38, 2031.33, 2031.25, 90, 143, 2031.58, 2033.23, 2029.92, 233
2016/3/29, 01:55:00.0, 2031.50, 2032.00, 2031.25, 2031.75, 269, 175, 2031.63, 2031.67, 2031.63, 129, 140, 2031.59, 2033.25, 2029.93, 269
2016/3/29, 02:00:00.0, 2031.75, 2032.00, 2031.00, 2031.75, 1417, 645, 2031.63, 2031.58, 2031.50, 844, 573, 2031.61, 2033.33, 2029.89, 1417
2016/3/29, 02:05:00.0, 2031.75, 2032.00, 2031.25, 2031.75, 800, 332, 2031.69, 2031.67, 2031.63, 412, 388, 2031.62, 2033.34, 2029.91, 800
2016/3/29, 02:10:00.0, 2032.00, 2032.00, 2031.50, 2032.00, 579, 242, 2031.88, 2031.83, 2031.75, 296, 283, 2031.66, 2033.31, 2030.00, 579
2016/3/29, 02:15:00.0, 2032.25, 2032.25, 2031.00, 2031.00, 714, 308, 2031.63, 2031.42, 2031.63, 403, 311, 2031.59, 2033.37, 2029.82, 714
2016/3/29, 02:20:00.0, 2030.75, 2031.25, 2030.75, 2031.25, 948, 337, 2031.00, 2031.08, 2031.00, 586, 362, 2031.56, 2033.27, 2029.85, 948
2016/3/29, 02:25:00.0, 2031.25, 2031.50, 2031.00, 2031.25, 381, 177, 2031.25, 2031.25, 2031.25, 156, 225, 2031.53, 2033.18, 2029.88, 381
2016/3/29, 02:30:00.0, 2031.25, 2031.25, 2030.50, 2030.75, 481, 221, 2030.94, 2030.83, 2030.88, 264, 217, 2031.46, 2033.11, 2029.80, 481
2016/3/29, 02:35:00.0, 2030.50, 2030.75, 2029.75, 2029.75, 989, 447, 2030.19, 2030.08, 2030.25, 660, 329, 2031.30, 2033.01, 2029.58, 989
2016/3/29, 02:40:00.0, 2029.75, 2030.75, 2029.50, 2030.75, 631, 337, 2030.19, 2030.33, 2030.13, 275, 356, 2031.24, 2033.07, 2029.42, 631
2016/3/29, 02:45:00.0, 2030.75, 2031.00, 2030.00, 2030.25, 712, 367, 2030.50, 2030.42, 2030.50, 374, 338, 2031.15, 2033.01, 2029.28, 712
2016/3/29, 02:50:00.0, 2030.25, 2031.25, 2030.00, 2031.00, 898, 423, 2030.63, 2030.75, 2030.63, 358, 540, 2031.13, 2033.09, 2029.17, 898
2016/3/29, 02:55:00.0, 2031.25, 2031.25, 2029.75, 2029.75, 798, 428, 2030.50, 2030.25, 2030.50, 462, 336, 2031.00, 2033.10, 2028.90, 798
2016/3/29, 03:00:00.0, 2029.50, 2033.50, 2029.50, 2032.00, 5007, 2473, 2031.13, 2031.67, 2031.50, 2022, 2985, 2031.10, 2033.89, 2028.31, 5007
2016/3/29, 03:05:00.0, 2032.00, 2033.25, 2031.00, 2031.25, 2857, 1330, 2031.88, 2031.83, 2032.13, 1373, 1484, 2031.11, 2034.13, 2028.09, 2857
2016/3/29, 03:10:00.0, 2031.25, 2032.75, 2031.00, 2031.50, 2090, 1042, 2031.63, 2031.75, 2031.88, 1134, 956, 2031.15, 2034.26, 2028.04, 2090
2016/3/29, 03:15:00.0, 2031.75, 2032.50, 2030.25, 2031.25, 2268, 1163, 2031.44, 2031.33, 2031.38, 1228, 1040, 2031.16, 2034.46, 2027.85, 2268
2016/3/29, 03:20:00.0, 2031.25, 2032.00, 2030.25, 2030.50, 2012, 938, 2031.00, 2030.92, 2031.13, 1200, 812, 2031.10, 2034.46, 2027.73, 2012
2016/3/29, 03:25:00.0, 2030.50, 2031.25, 2030.25, 2030.75, 1580, 767, 2030.69, 2030.75, 2030.75, 811, 769, 2031.06, 2034.32, 2027.81, 1580
2016/3/29, 03:30:00.0, 2031.00, 2032.00, 2030.75, 2031.50, 1793, 891, 2031.31, 2031.42, 2031.38, 783, 1010, 2031.10, 2034.32, 2027.89, 1793
2016/3/29, 03:35:00.0, 2031.50, 2032.25, 2030.50, 2031.25, 2090, 1012, 2031.38, 2031.33, 2031.38, 1131, 959, 2031.12, 2034.40, 2027.83, 2090
2016/3/29, 03:40:00.0, 2031.25, 2032.00, 2030.75, 2031.00, 1877, 868, 2031.25, 2031.25, 2031.38, 907, 970, 2031.11, 2034.34, 2027.87, 1877
2016/3/29, 03:45:00.0, 2031.00, 2032.00, 2030.25, 2031.75, 1665, 831, 2031.25, 2031.33, 2031.13, 854, 811, 2031.17, 2034.48, 2027.86, 1665
2016/3/29, 03:50:00.0, 2031.50, 2032.50, 2030.75, 2031.00, 1128, 559, 2031.44, 2031.42, 2031.63, 640, 488, 2031.15, 2034.52, 2027.78, 1128
2016/3/29, 03:55:00.0, 2031.00, 2032.00, 2030.75, 2032.00, 2157, 754, 2031.44, 2031.58, 2031.38, 1024, 1133, 2031.23, 2034.55, 2027.92, 2157
